1 1:1.000000 2:17.500000 3:22.000000 4:3.000000 5:1.000000 6:7.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:3.000000 13:450.000000 14:100001.000000
0 1:1.000000 2:18.080000 3:6.750000 4:1.000000 5:7.000000 6:4.000000 7:0.040000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:140.000000 14:1.000000
1 1:1.000000 2:47.669998 3:2.500000 4:2.000000 5:7.000000 6:5.000000 7:2.500000 8:1.000000 9:1.000000 10:12.000000 11:1.000000 12:2.000000 13:410.000000 14:2511.000000
1 1:1.000000 2:57.419998 3:8.500000 4:2.000000 5:10.000000 6:8.000000 7:7.000000 8:1.000000 9:1.000000 10:3.000000 11:0.000000 12:2.000000 13:0.000000 14:1.000000
1 1:1.000000 2:13.750000 3:4.000000 4:1.000000 5:9.000000 6:4.000000 7:1.750000 8:1.000000 9:1.000000 10:2.000000 11:1.000000 12:2.000000 13:120.000000 14:1001.000000
1 1:1.000000 2:19.330000 3:9.500000 4:2.000000 5:11.000000 6:4.000000 7:1.000000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:60.000000 14:401.000000
0 1:0.000000 2:21.920000 3:11.665000 4:2.000000 5:4.000000 6:8.000000 7:0.085000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:320.000000 14:6.000000
0 1:1.000000 2:17.580000 3:10.000000 4:2.000000 5:9.000000 6:8.000000 7:0.165000 8:0.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:120.000000 14:2.000000
0 1:1.000000 2:34.830002 3:2.500000 4:1.000000 5:9.000000 6:4.000000 7:3.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:1.000000 13:200.000000 14:1.000000
0 1:1.000000 2:29.170000 3:3.500000 4:2.000000 5:9.000000 6:4.000000 7:3.500000 8:1.000000 9:1.000000 10:3.000000 11:1.000000 12:2.000000 13:329.000000 14:1.000000
0 1:1.000000 2:21.420000 3:0.750000 4:1.000000 5:12.000000 6:7.000000 7:0.750000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:132.000000 14:3.000000
0 1:1.000000 2:18.170000 3:10.250000 4:2.000000 5:8.000000 6:8.000000 7:1.085000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:320.000000 14:14.000000
0 1:1.000000 2:28.000000 3:3.000000 4:2.000000 5:9.000000 6:4.000000 7:0.750000 8:0.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:300.000000 14:68.000000
1 1:0.000000 2:45.830002 3:10.500000 4:2.000000 5:11.000000 6:4.000000 7:5.000000 8:1.000000 9:1.000000 10:7.000000 11:1.000000 12:2.000000 13:0.000000 14:1.000000
0 1:1.000000 2:22.750000 3:11.500000 4:2.000000 5:3.000000 6:4.000000 7:0.415000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:0.000000 14:1.000000
0 1:0.000000 2:31.570000 3:3.500000 4:2.000000 5:2.000000 6:4.000000 7:3.000000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:300.000000 14:1.000000
1 1:0.000000 2:20.420000 3:7.500000 4:2.000000 5:4.000000 6:4.000000 7:1.500000 8:1.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:160.000000 14:235.000000
1 1:0.000000 2:21.250000 3:2.335000 4:2.000000 5:3.000000 6:5.000000 7:0.500000 8:1.000000 9:1.000000 10:4.000000 11:0.000000 12:1.000000 13:80.000000 14:1.000000
1 1:1.000000 2:26.670000 3:4.250000 4:2.000000 5:13.000000 6:4.000000 7:4.290000 8:1.000000 9:1.000000 10:1.000000 11:1.000000 12:2.000000 13:120.000000 14:1.000000
0 1:0.000000 2:27.330000 3:1.665000 4:2.000000 5:1.000000 6:1.000000 7:0.000000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:340.000000 14:2.000000
1 1:1.000000 2:42.080002 3:1.040000 4:2.000000 5:9.000000 6:4.000000 7:5.000000 8:1.000000 9:1.000000 10:6.000000 11:1.000000 12:2.000000 13:500.000000 14:10001.000000
0 1:0.000000 2:18.250000 3:10.000000 4:2.000000 5:9.000000 6:4.000000 7:1.000000 8:0.000000 9:1.000000 10:1.000000 11:0.000000 12:2.000000 13:120.000000 14:2.000000
0 1:0.000000 2:28.500000 3:1.000000 4:2.000000 5:11.000000 6:4.000000 7:1.000000 8:1.000000 9:1.000000 10:2.000000 11:1.000000 12:2.000000 13:167.000000 14:501.000000
1 1:0.000000 2:21.500000 3:6.000000 4:2.000000 5:6.000000 6:4.000000 7:2.500000 8:1.000000 9:1.000000 10:3.000000 11:0.000000 12:2.000000 13:80.000000 14:919.000000
1 1:1.000000 2:21.830000 3:11.000000 4:2.000000 5:14.000000 6:4.000000 7:0.290000 8:1.000000 9:1.000000 10:6.000000 11:0.000000 12:2.000000 13:121.000000 14:1.000000
0 1:1.000000 2:21.920000 3:0.500000 4:2.000000 5:8.000000 6:4.000000 7:0.125000 8:0.000000 9:0.000000 10:0.000000 11:0.000000 12:2.000000 13:360.000000 14:1.000000
1 1:1.000000 2:32.669998 3:9.000000 4:1.000000 5:9.000000 6:8.000000 7:5.250000 8:1.000000 9:0.000000 10:0.000000 11:1.000000 12:2.000000 13:154.000000 14:1.000000
