1 1:1 2:0.0676651 3:0.87267 4:1 5:0 6:0.857143 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:1 13:0.484914 14:1 
0 1:1 2:0.0781306 3:0.267751 4:0 5:0.461538 6:0.428571 7:0.00266667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.150862 14:0 
1 1:1 2:0.612053 3:0.099167 4:0.5 5:0.461538 6:0.571429 7:0.166667 8:1 9:1 10:0.521739 11:1 12:0.5 13:0.44181 14:0.0251 
1 1:1 2:0.787983 3:0.337168 4:0.5 5:0.692308 6:1 7:0.466667 8:1 9:1 10:0.130435 11:-1e-100 12:0.5 13:-1.07759e-103 14:0 
1 1:1 2:0 3:0.158667 4:0 5:0.615385 6:0.428571 7:0.116667 8:1 9:1 10:0.0869565 11:1 12:0.5 13:0.12931 14:0.01 
1 1:1 2:0.100686 3:0.376835 4:0.5 5:0.769231 6:0.428571 7:0.0666667 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.0646552 14:0.004 
0 1:-1e-100 2:0.14742 3:0.462713 4:0.5 5:0.230769 6:1 7:0.00566667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.344828 14:5e-05 
0 1:1 2:0.0691086 3:0.396668 4:0.5 5:0.615385 6:1 7:0.011 8:-1e-100 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.12931 14:1e-05 
0 1:1 2:0.380368 3:0.099167 4:0 5:0.615385 6:0.428571 7:0.2 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0 13:0.215517 14:0 
0 1:1 2:0.278239 3:0.138834 4:0.5 5:0.615385 6:0.428571 7:0.233333 8:1 9:1 10:0.130435 11:1 12:0.5 13:0.354526 14:0 
0 1:1 2:0.138398 3:0.0297501 4:0 5:0.846154 6:0.857143 7:0.05 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.142241 14:2e-05 
0 1:1 2:0.0797546 3:0.406585 4:0.5 5:0.538462 6:1 7:0.0723333 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.344828 14:0.00013 
0 1:1 2:0.257127 3:0.119 4:0.5 5:0.615385 6:0.428571 7:0.05 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.323276 14:0.00067 
1 1:-1e-100 2:0.578852 3:0.416501 4:0.5 5:0.769231 6:0.428571 7:0.333333 8:1 9:1 10:0.304348 11:1 12:0.5 13:-1.07759e-103 14:0 
0 1:1 2:0.162396 3:0.456168 4:0.5 5:0.153846 6:0.428571 7:0.0276667 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:-1.07759e-103 14:0 
0 1:-1e-100 2:0.321545 3:0.138834 4:0.5 5:0.0769231 6:0.428571 7:0.2 8:1 9:-1e-100 10:-4.34783e-102 11:1 12:0.5 13:0.323276 14:0 
1 1:-1e-100 2:0.120354 3:0.297501 4:0.5 5:0.230769 6:0.428571 7:0.1 8:1 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.172414 14:0.00234 
1 1:-1e-100 2:0.13533 3:0.092622 4:0.5 5:0.153846 6:0.571429 7:0.0333333 8:1 9:1 10:0.173913 11:-1e-100 12:0 13:0.0862069 14:0 
1 1:1 2:0.233129 3:0.168584 4:0.5 5:0.923077 6:0.428571 7:0.286 8:1 9:1 10:0.0434783 11:1 12:0.5 13:0.12931 14:0 
0 1:-1e-100 2:0.245038 3:0.0660452 4:0.5 5:0 6:0 7:-6.66667e-102 8:-1e-100 9:-1e-100 10:-4.34783e-102 11:-1e-100 12:0.5 13:0.366379 14:1e-05 
1 1:1 2:0.511187 3:0.0412535 4:0.5 5:0.615385 6:0.428571 7:0.333333 8:1 9:1 10:0.26087 11:1 12:0.5 13:0.538793 14:0.1 
0 1:-1e-100 2:0.0811981 3:0.396668 4:0.5 5:0.615385 6:0.428571 7:0.0666667 8:-1e-100 9:1 10:0.0434783 11:-1e-100 12:0.5 13:0.12931 14:1e-05 
0 1:-1e-100 2:0.266149 3:0.0396668 4:0.5 5:0.769231 6:0.428571 7:0.0666667 8:1 9:1 10:0.0869565 11:1 12:0.5 13:0.179957 14:0.005 
1 1:-1e-100 2:0.139841 3:0.238001 4:0.5 5:0.384615 6:0.428571 7:0.166667 8:1 9:1 10:0.130435 11:-1e-100 12:0.5 13:0.0862069 14:0.00918 
1 1:1 2:0.145796 3:0.436335 4:0.5 5:1 6:0.428571 7:0.0193333 8:1 9:1 10:0.26087 11:-1e-100 12:0.5 13:0.130388 14:0 
